Country,ISO_Code,Level,GDLCODE,Region,"Life expectancy","GNI per capita in thousands of US$ (2011 PPP)","Expected years schooling","Mean years schooling","Population size in millions"
"United States","USA","Subnat","USAr101","Alabama",75.35,41.30,15.8,13.0,4.93
"United States","USA","Subnat","USAr102","Alaska",78.25,71.09,16.8,13.8,0.75
"United States","USA","Subnat","USAr103","Arizona",79.55,42.78,16.2,13.3,7.01
"United States","USA","Subnat","USAr104","Arkansas",75.95,40.30,15.7,12.9,3.03
"United States","USA","Subnat","USAr105","California",80.75,65.11,15.9,13.1,39.7
"United States","USA","Subnat","USAr106","Colorado",79.95,58.61,17.0,14.0,5.58
"United States","USA","Subnat","USAr107","Connecticut",80.75,71.69,16.9,13.9,3.63
"United States","USA","Subnat","USAr108","Delaware",78.35,70.75,16.4,13.5,0.96
"United States","USA","Subnat","USAr109","District of Columbia",76.45,179.1,17.4,14.4,0.69
"United States","USA","Subnat","USAr110","Florida",79.35,43.84,16.2,13.3,20.8
"United States","USA","Subnat","USAr111","Georgia",77.15,49.61,16.1,13.3,10.4
"United States","USA","Subnat","USAr112","Hawaii",81.25,56.92,16.7,13.7,1.44
"United States","USA","Subnat","USAr113","Idaho",79.45,39.30,16.3,13.5,1.71
"United States","USA","Subnat","USAr114","Illinois",78.95,60.06,16.5,13.6,13.0
"United States","USA","Subnat","USAr115","Indiana",77.55,50.28,16.2,13.3,6.73
"United States","USA","Subnat","USAr116","Iowa",79.65,55.85,16.5,13.6,3.17
"United States","USA","Subnat","USAr117","Kansas",78.65,52.13,16.7,13.7,2.95
"United States","USA","Subnat","USAr118","Kentucky",75.95,43.22,15.7,12.9,4.49
"United States","USA","Subnat","USAr119","Louisiana",75.65,48.72,15.7,12.9,4.72
"United States","USA","Subnat","USAr120","Maine",79.15,43.15,16.6,13.7,1.35
"United States","USA","Subnat","USAr121","Maryland",78.75,61.53,16.9,13.9,6.10
"United States","USA","Subnat","USAr122","Massachusetts",80.45,72.85,17.1,14.1,6.90
"United States","USA","Subnat","USAr123","Michigan",78.15,48.11,16.5,13.6,10.1
"United States","USA","Subnat","USAr124","Minnesota",81.05,59.63,17.0,14.0,5.61
"United States","USA","Subnat","USAr125","Mississippi",74.95,35.31,15.5,12.8,3.02
"United States","USA","Subnat","USAr126","Missouri",77.45,48.05,16.3,13.4,6.17
"United States","USA","Subnat","USAr127","Montana",78.45,43.63,16.9,14.0,1.06
"United States","USA","Subnat","USAr128","Nebraska",79.75,58.97,16.7,13.7,1.93
"United States","USA","Subnat","USAr129","Nevada",78.05,48.61,15.9,13.1,2.98
"United States","USA","Subnat","USAr130","New Hampshire",80.25,57.50,17.0,14.0,1.35
"United States","USA","Subnat","USAr131","New Jersey",80.25,63.40,16.8,13.9,9.09
"United States","USA","Subnat","USAr132","New Mexico",78.35,45.85,15.9,13.1,2.11
"United States","USA","Subnat","USAr133","New York",80.45,71.77,16.4,13.5,20.0
"United States","USA","Subnat","USAr134","North Carolina",77.75,49.17,16.1,13.3,10.3
"United States","USA","Subnat","USAr135","North Dakota",79.45,69.82,16.7,13.8,0.76
"United States","USA","Subnat","USAr136","Ohio",77.75,52.78,16.4,13.5,11.8
"United States","USA","Subnat","USAr137","Oklahoma",75.85,49.50,16.1,13.3,3.95
"United States","USA","Subnat","USAr138","Oregon",79.45,56.15,16.6,13.7,4.13
"United States","USA","Subnat","USAr139","Pennsylvania",78.45,56.61,16.5,13.6,13.0
"United States","USA","Subnat","USAr140","Rhode Island",79.85,52.86,16.2,13.3,1.07
"United States","USA","Subnat","USAr141","South Carolina",76.95,41.08,16.0,13.2,5.02
"United States","USA","Subnat","USAr142","South Dakota",79.45,53.35,16.7,13.8,0.88
"United States","USA","Subnat","USAr143","Tennessee",76.25,47.99,15.9,13.1,6.74
"United States","USA","Subnat","USAr144","Texas",78.45,59.73,15.7,12.9,28.2
"United States","USA","Subnat","USAr145","Utah",80.15,49.52,16.8,13.8,3.09
"United States","USA","Subnat","USAr146","Vermont",80.45,48.75,17.1,14.1,0.63
"United States","USA","Subnat","USAr147","Virginia",78.95,57.43,16.7,13.7,8.52
"United States","USA","Subnat","USAr148","Washington",79.85,63.12,16.7,13.8,7.38
"United States","USA","Subnat","USAr149","West Virginia",75.35,40.25,15.6,12.8,1.85
"United States","USA","Subnat","USAr150","Wisconsin",79.95,52.45,16.6,13.7,5.85
"United States","USA","Subnat","USAr151","Wyoming",78.25,65.34,16.7,13.8,0.59
